Time	UTC	GPS_lat(deg)	GPS_long(deg)	ROTORCRAFT_FP:north	ROTORCRAFT_FP:east	RSSI:rssi
1540.330	08:42:25.330	37.297577517	-3.682826857	3525	-2201	69
1540.580	08:42:25.580	37.297577517	-3.682826857	3525	-2201	68
1540.830	08:42:25.830	37.297577517	-3.682826857	3525	-2201	66
1541.080	08:42:26.080	37.297589984	-3.682827300	3878	-2211	67
1541.330	08:42:26.330	37.297592774	-3.682827875	3957	-2224	70
1541.580	08:42:26.580	37.297592774	-3.682827875	3957	-2224	69
1541.830	08:42:26.830	37.297598848	-3.682828318	4129	-2234	66
1542.080	08:42:27.080	37.297598848	-3.682828318	4129	-2234	71
1542.330	08:42:27.330	37.297598848	-3.682828318	4129	-2234	71
1542.580	08:42:27.580	37.297598848	-3.682828318	4129	-2234	67
1542.830	08:42:27.830	37.297598848	-3.682828318	4129	-2234	67
1543.080	08:42:28.080	37.297598848	-3.682828318	4129	-2234	69
1543.330	08:42:28.330	37.297598848	-3.682828318	4129	-2234	69
1543.580	08:42:28.580	37.297621099	-3.682828674	4759	-2242	69
1543.830	08:42:28.830	37.297621099	-3.682828674	4759	-2242	67
1544.080	08:42:29.080	37.297627492	-3.682828675	4940	-2242	67
1544.330	08:42:29.330	37.297627492	-3.682828675	4940	-2242	71
1544.580	08:42:29.580	37.297627492	-3.682828675	4940	-2242	68
1544.830	08:42:29.830	37.297627492	-3.682828675	4940	-2242	70
1545.080	08:42:30.080	37.297627492	-3.682828675	4940	-2242	68
1545.330	08:42:30.330	37.297627492	-3.682828675	4940	-2242	67
1545.580	08:42:30.580	37.297627492	-3.682828675	4940	-2242	67
1545.830	08:42:30.830	37.297627492	-3.682828675	4940	-2242	65
1546.080	08:42:31.080	37.297627492	-3.682828675	4940	-2242	65
1546.330	08:42:31.330	37.297627492	-3.682828675	4940	-2242	65
1546.580	08:42:31.580	37.297627492	-3.682828675	4940	-2242	64
1546.830	08:42:31.830	37.297627492	-3.682828675	4940	-2242	66
1547.080	08:42:32.080	37.297627492	-3.682828675	4940	-2242	66
1547.330	08:42:32.330	37.297654198	-3.682860020	5696	-2951	66
1547.580	08:42:32.580	37.297656071	-3.682863557	5749	-3031	66
1547.830	08:42:32.830	37.297656071	-3.682863557	5749	-3031	66
1548.080	08:42:33.080	37.297656071	-3.682863557	5749	-3031	64
1548.330	08:42:33.330	37.297656071	-3.682863557	5749	-3031	64
1548.580	08:42:33.580	37.297663596	-3.682877219	5962	-3340	64
1548.830	08:42:33.830	37.297664479	-3.682881197	5987	-3430	67
1549.080	08:42:34.080	37.297664479	-3.682881197	5987	-3430	69
1549.330	08:42:34.330	37.297665505	-3.682889023	6016	-3607	69
1549.580	08:42:34.580	37.297665576	-3.682892957	6018	-3696	68
1549.830	08:42:34.830	37.297665224	-3.682897025	6008	-3788	66
1550.080	08:42:35.080	37.297664483	-3.682901005	5987	-3878	67
1550.330	08:42:35.330	37.297663036	-3.682904497	5946	-3957	67
1550.580	08:42:35.580	37.297661342	-3.682907681	5898	-4029	68
1550.830	08:42:35.830	37.297659541	-3.682910864	5847	-4101	71
1551.080	08:42:36.080	37.297657706	-3.682914004	5795	-4172	69
1551.330	08:42:36.330	37.297655623	-3.682916745	5736	-4234	66
1551.580	08:42:36.580	37.297653187	-3.682919000	5667	-4285	69
1551.830	08:42:36.830	37.297650397	-3.682920460	5588	-4318	69
1552.080	08:42:37.080	37.297647679	-3.682921698	5511	-4346	67
1552.330	08:42:37.330	37.297647679	-3.682921698	5511	-4346	67
1552.580	08:42:37.580	37.297641641	-3.682922407	5340	-4362	68
1552.830	08:42:37.830	37.297641641	-3.682922407	5340	-4362	70
1553.080	08:42:38.080	37.297635391	-3.682923514	5163	-4387	70
1553.330	08:42:38.330	37.297635391	-3.682923514	5163	-4387	70
1553.580	08:42:38.580	37.297635391	-3.682923514	5163	-4387	68
1553.830	08:42:38.830	37.297625892	-3.682925107	4894	-4423	67
1554.080	08:42:39.080	37.297625892	-3.682925107	4894	-4423	66
1554.330	08:42:39.330	37.297619289	-3.682926037	4707	-4444	63
1554.580	08:42:39.580	37.297616146	-3.682926701	4618	-4459	63
1554.830	08:42:39.830	37.297616146	-3.682926701	4618	-4459	63
1555.080	08:42:40.080	37.297616146	-3.682926701	4618	-4459	64
1555.330	08:42:40.330	37.297616146	-3.682926701	4618	-4459	65
1555.580	08:42:40.580	37.297616146	-3.682926701	4618	-4459	67
1555.830	08:42:40.830	37.297616146	-3.682926701	4618	-4459	69
1556.080	08:42:41.080	37.297616146	-3.682926701	4618	-4459	67
1556.330	08:42:41.330	37.297616146	-3.682926701	4618	-4459	65
1556.580	08:42:41.580	37.297616146	-3.682926701	4618	-4459	64
1556.830	08:42:41.830	37.297616146	-3.682926701	4618	-4459	64
1557.080	08:42:42.080	37.297583763	-3.682929316	3701	-4518	64
1557.330	08:42:42.330	37.297583763	-3.682929316	3701	-4518	67
1557.580	08:42:42.580	37.297583763	-3.682929316	3701	-4518	67
1557.830	08:42:42.830	37.297574087	-3.682929672	3427	-4526	66
1558.080	08:42:43.080	37.297574087	-3.682929672	3427	-4526	66
1558.330	08:42:43.330	37.297567589	-3.682930469	3243	-4544	63
1558.580	08:42:43.580	37.297564234	-3.682931133	3148	-4559	63
1558.830	08:42:43.830	37.297564234	-3.682931133	3148	-4559	63
1559.080	08:42:44.080	37.297564234	-3.682931133	3148	-4559	63
1559.330	08:42:44.330	37.297564234	-3.682931133	3148	-4559	63
1559.580	08:42:44.580	37.297548059	-3.682931932	2690	-4577	63
1559.830	08:42:44.830	37.297548059	-3.682931932	2690	-4577	63
1560.080	08:42:45.080	37.297548059	-3.682931933	2690	-4577	63
1560.330	08:42:45.330	37.297548059	-3.682931933	2690	-4577	63
1560.580	08:42:45.580	37.297538311	-3.682931802	2414	-4574	65
1560.830	08:42:45.830	37.297535133	-3.682931581	2324	-4569	65
1561.080	08:42:46.080	37.297531883	-3.682931229	2232	-4561	63
1561.330	08:42:46.330	37.297531883	-3.682931229	2232	-4561	63
1561.580	08:42:46.580	37.297525561	-3.682930788	2053	-4551	63
1561.830	08:42:46.830	37.297522277	-3.682930568	1960	-4546	62
1562.080	08:42:47.080	37.297519133	-3.682930215	1871	-4538	62
1562.330	08:42:47.330	37.297516060	-3.682930127	1784	-4536	62
1562.580	08:42:47.580	37.297512811	-3.682929995	1692	-4533	62
1562.830	08:42:47.830	37.297509455	-3.682929554	1597	-4523	60
1563.080	08:42:48.080	37.297506100	-3.682929333	1502	-4518	60
1563.330	08:42:48.330	37.297499883	-3.682928671	1326	-4503	61
1563.580	08:42:48.580	37.297499883	-3.682928671	1326	-4503	59
1563.830	08:42:48.830	37.297499883	-3.682928671	1326	-4503	58
1564.080	08:42:49.080	37.297493808	-3.682928098	1154	-4490	59
1564.330	08:42:49.330	37.297487379	-3.682927524	972	-4477	60
1564.580	08:42:49.580	37.297487380	-3.682927524	972	-4477	61
1564.830	08:42:49.830	37.297484130	-3.682927172	880	-4469	59
1565.080	08:42:50.080	37.297481057	-3.682926951	793	-4464	57
1565.330	08:42:50.330	37.297477807	-3.682926731	701	-4459	61
1565.580	08:42:50.580	37.297474557	-3.682926068	609	-4444	63
1565.830	08:42:50.830	37.297471484	-3.682924566	522	-4410	63
1566.080	08:42:51.080	37.297468870	-3.682923019	448	-4375	60
1566.330	08:42:51.330	37.297464879	-3.682918112	335	-4264	60
1566.580	08:42:51.580	37.297464879	-3.682918112	335	-4264	62
1566.830	08:42:51.830	37.297463431	-3.682914841	294	-4190	62
1567.080	08:42:52.080	37.297462441	-3.682911349	266	-4111	62
1567.330	08:42:52.330	37.297461876	-3.682907502	250	-4024	62
1567.580	08:42:52.580	37.297461806	-3.682903523	248	-3934	63
1567.830	08:42:52.830	37.297462336	-3.682899677	263	-3847	65
1568.080	08:42:53.080	37.297462336	-3.682899677	263	-3847	61
1568.330	08:42:53.330	37.297462336	-3.682899677	263	-3847	61
1568.580	08:42:53.580	37.297462336	-3.682899677	263	-3847	61
1568.830	08:42:53.830	37.297467034	-3.682884867	396	-3512	67
1569.080	08:42:54.080	37.297468483	-3.682881109	437	-3427	67
1569.330	08:42:54.330	37.297470849	-3.682873327	504	-3251	66
1569.580	08:42:54.580	37.297470849	-3.682873327	504	-3251	66
1569.830	08:42:54.830	37.297470849	-3.682873327	504	-3251	66
1570.080	08:42:55.080	37.297470849	-3.682873327	504	-3251	66
1570.330	08:42:55.330	37.297471733	-3.682860638	529	-2964	63
1570.580	08:42:55.580	37.297471733	-3.682860638	529	-2964	63
1570.830	08:42:55.830	37.297473181	-3.682852812	570	-2787	68
1571.080	08:42:56.080	37.297473181	-3.682852812	570	-2787	64
1571.330	08:42:56.330	37.297478975	-3.682843793	734	-2583	64
1571.580	08:42:56.580	37.297478975	-3.682843793	734	-2583	64
1571.830	08:42:56.830	37.297478975	-3.682843793	734	-2583	64
1572.080	08:42:57.080	37.297484133	-3.682840256	880	-2503	63
1572.330	08:42:57.330	37.297487136	-3.682839461	965	-2485	66
1572.580	08:42:57.580	37.297490104	-3.682839240	1049	-2480	66
1572.830	08:42:57.830	37.297490104	-3.682839240	1049	-2480	66
1573.080	08:42:58.080	37.297495792	-3.682840037	1210	-2498	75
1573.330	08:42:58.330	37.297495792	-3.682840037	1210	-2498	76
1573.580	08:42:58.580	37.297501939	-3.682841983	1384	-2542	70
1573.830	08:42:58.830	37.297505049	-3.682843001	1472	-2565	72
1574.080	08:42:59.080	37.297505049	-3.682843001	1472	-2565	69
1574.330	08:42:59.330	37.297511443	-3.682844549	1653	-2600	69
1574.580	08:42:59.580	37.297514694	-3.682845124	1745	-2613	65
1574.830	08:42:59.830	37.297517874	-3.682845611	1835	-2624	69
1575.080	08:43:0.080	37.297521124	-3.682846054	1927	-2634	65
1575.330	08:43:0.330	37.297524375	-3.682846718	2019	-2649	71
1575.580	08:43:0.580	37.297527837	-3.682847072	2117	-2657	66
1575.830	08:43:0.830	37.297527837	-3.682847072	2117	-2657	69
1576.080	08:43:1.080	37.297527837	-3.682847072	2117	-2657	72
1576.330	08:43:1.330	37.297537236	-3.682847648	2383	-2670	67
1576.580	08:43:1.580	37.297540380	-3.682847870	2472	-2675	67
1576.830	08:43:1.830	37.297543560	-3.682848091	2562	-2680	67
1577.080	08:43:2.080	37.297543560	-3.682848091	2562	-2680	66
1577.330	08:43:2.330	37.297549885	-3.682848446	2741	-2688	67
1577.580	08:43:2.580	37.297549885	-3.682848446	2741	-2688	69
1577.830	08:43:2.830	37.297556139	-3.682848668	2918	-2693	67
1578.080	08:43:3.080	37.297556139	-3.682848668	2918	-2693	67
1578.330	08:43:3.330	37.297556139	-3.682848668	2918	-2693	69
1578.580	08:43:3.580	37.297556139	-3.682848668	2918	-2693	69
1578.830	08:43:3.830	37.297568895	-3.682849687	3279	-2716	69
1579.080	08:43:4.080	37.297568895	-3.682849687	3279	-2716	71
1579.330	08:43:4.330	37.297568895	-3.682849687	3279	-2716	68
1579.580	08:43:4.580	37.297568895	-3.682849687	3279	-2716	69
1579.830	08:43:4.830	37.297568895	-3.682849687	3279	-2716	69
1580.080	08:43:5.080	37.297568895	-3.682849687	3279	-2716	69
1580.330	08:43:5.330	37.297568895	-3.682849687	3279	-2716	68
1580.580	08:43:5.580	37.297568895	-3.682849687	3279	-2716	68
1580.830	08:43:5.830	37.297568895	-3.682849687	3279	-2716	68
1581.080	08:43:6.080	37.297568895	-3.682849687	3279	-2716	69
1581.330	08:43:6.330	37.297568895	-3.682849687	3279	-2716	69
1581.580	08:43:6.580	37.297568895	-3.682849687	3279	-2716	69
1581.830	08:43:6.830	37.297568895	-3.682849687	3279	-2716	67
1582.080	08:43:7.080	37.297568895	-3.682849687	3279	-2716	68
1582.330	08:43:7.330	37.297568895	-3.682849687	3279	-2716	68
1582.580	08:43:7.580	37.297618545	-3.682854780	4684	-2831	69
1582.830	08:43:7.830	37.297618545	-3.682854780	4684	-2831	69
1583.080	08:43:8.080	37.297618545	-3.682854780	4684	-2831	69
1583.330	08:43:8.330	37.297618545	-3.682854780	4684	-2831	69
1583.580	08:43:8.580	37.297631762	-3.682855224	5058	-2841	69
1583.830	08:43:8.830	37.297631762	-3.682855224	5058	-2841	69
1584.080	08:43:9.080	37.297635013	-3.682855446	5150	-2846	67
1584.330	08:43:9.330	37.297638476	-3.682855446	5248	-2846	73
1584.580	08:43:9.580	37.297641905	-3.682855358	5345	-2844	66
1584.830	08:43:9.830	37.297641905	-3.682855358	5345	-2844	69
1585.080	08:43:10.080	37.297648584	-3.682856155	5534	-2862	69
1585.330	08:43:10.330	37.297651588	-3.682857615	5619	-2895	72
1585.580	08:43:10.580	37.297654027	-3.682859783	5688	-2944	72
1585.830	08:43:10.830	37.297656183	-3.682862260	5749	-3000	71
1586.080	08:43:11.080	37.297658445	-3.682865091	5813	-3064	68
1586.330	08:43:11.330	37.297658445	-3.682865091	5813	-3064	66
1586.580	08:43:11.580	37.297662334	-3.682870975	5923	-3197	67
1586.830	08:43:11.830	37.297662334	-3.682870975	5923	-3197	64
1587.080	08:43:12.080	37.297668873	-3.682879468	6108	-3389	67
1587.330	08:43:12.330	37.297668873	-3.682879469	6108	-3389	65
1587.580	08:43:12.580	37.297671383	-3.682881946	6179	-3445	67
1587.830	08:43:12.830	37.297673822	-3.682884689	6248	-3507	68
1588.080	08:43:13.080	37.297676190	-3.682887520	6315	-3571	67
1588.330	08:43:13.330	37.297678170	-3.682890661	6371	-3642	66
1588.580	08:43:13.580	37.297679725	-3.682893846	6415	-3714	67
1588.830	08:43:13.830	37.297681246	-3.682897341	6458	-3793	65
1589.080	08:43:14.080	37.297682448	-3.682900968	6492	-3875	67
1589.330	08:43:14.330	37.297683261	-3.682904729	6515	-3960	70
1589.580	08:43:14.580	37.297683510	-3.682908578	6522	-4047	66
1589.830	08:43:14.830	37.297683510	-3.682908578	6522	-4047	65
1590.080	08:43:15.080	37.297683510	-3.682908578	6522	-4047	68
1590.330	08:43:15.330	37.297683510	-3.682908578	6522	-4047	67
1590.580	08:43:15.580	37.297683510	-3.682908578	6522	-4047	68
1590.830	08:43:15.830	37.297683510	-3.682908578	6522	-4047	69
1591.080	08:43:16.080	37.297678108	-3.682929415	6369	-4518	68
1591.330	08:43:16.330	37.297676024	-3.682932114	6310	-4579	66
1591.580	08:43:16.580	37.297676024	-3.682932114	6310	-4579	68
1591.830	08:43:16.830	37.297676024	-3.682932114	6310	-4579	66
1592.080	08:43:17.080	37.297676024	-3.682932114	6310	-4579	66
1592.330	08:43:17.330	37.297676024	-3.682932114	6310	-4579	66
1592.580	08:43:17.580	37.297676024	-3.682932114	6310	-4579	65
